# Residuals   
# Time        	Ux            	Uy            	Uz            	p             	k             	epsilon       
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	9.727879e-01
2             	2.531893e-01	3.711540e-01	3.711357e-01	6.693047e-01	4.455968e-01	4.419254e-01
3             	1.322145e-01	2.537355e-01	2.537104e-01	5.464999e-01	2.996481e-01	2.937648e-01
4             	9.093143e-02	1.873266e-01	1.872995e-01	4.931038e-01	2.186366e-01	2.140525e-01
5             	6.817370e-02	1.430920e-01	1.430868e-01	5.939776e-01	1.698705e-01	1.655109e-01
6             	5.090516e-02	1.094401e-01	1.094412e-01	6.400611e-01	1.348788e-01	1.318438e-01
7             	3.682463e-02	8.160402e-02	8.161468e-02	6.395533e-01	1.099333e-01	1.065490e-01
8             	2.599512e-02	5.823442e-02	5.824660e-02	6.150943e-01	9.074972e-02	8.585698e-02
9             	1.782076e-02	3.866942e-02	3.867435e-02	5.909210e-01	7.479753e-02	6.777949e-02
10            	1.211777e-02	2.399613e-02	2.399326e-02	5.624408e-01	6.181738e-02	5.127637e-02
11            	8.478288e-03	1.663100e-02	1.662840e-02	5.386694e-01	5.124403e-02	3.709618e-02
12            	8.761349e-03	2.081348e-02	2.080882e-02	5.206089e-01	4.263013e-02	2.548792e-02
13            	1.267224e-02	3.443088e-02	3.441647e-02	4.877909e-01	3.617958e-02	1.888249e-02
14            	1.635048e-02	4.737995e-02	4.736119e-02	4.755777e-01	3.098469e-02	1.458839e-02
15            	1.894112e-02	5.732710e-02	5.733634e-02	5.236655e-01	2.714893e-02	1.281424e-02
16            	1.991962e-02	6.254614e-02	6.255412e-02	5.703309e-01	2.384948e-02	1.189400e-02
17            	1.929668e-02	6.250560e-02	6.251411e-02	5.909078e-01	2.084041e-02	1.006055e-02
18            	1.738368e-02	5.766125e-02	5.765881e-02	6.048287e-01	1.825708e-02	7.614189e-03
19            	1.457845e-02	4.877895e-02	4.879641e-02	5.934486e-01	1.675207e-02	6.231438e-03
20            	1.212617e-02	3.882463e-02	3.882902e-02	5.761995e-01	1.576074e-02	6.182218e-03
21            	1.027154e-02	3.185666e-02	3.185680e-02	5.660957e-01	1.490974e-02	5.643798e-03
22            	1.035623e-02	3.149781e-02	3.153157e-02	5.659647e-01	1.441636e-02	5.673719e-03
23            	1.225315e-02	3.590694e-02	3.595762e-02	5.565649e-01	1.407469e-02	6.079733e-03
24            	1.398024e-02	3.958835e-02	3.962058e-02	5.304278e-01	1.357483e-02	5.638670e-03
25            	1.491874e-02	3.995927e-02	3.998884e-02	5.547257e-01	1.309210e-02	5.093930e-03
26            	1.489661e-02	3.739534e-02	3.742186e-02	5.767109e-01	1.283769e-02	4.820980e-03
27            	1.378598e-02	3.294945e-02	3.296748e-02	5.928250e-01	1.244448e-02	4.879441e-03
28            	1.210845e-02	2.766159e-02	2.766378e-02	5.635756e-01	1.193469e-02	4.320734e-03
29            	1.017195e-02	2.261020e-02	2.263551e-02	5.293484e-01	1.141494e-02	3.775877e-03
30            	8.323179e-03	1.802693e-02	1.805552e-02	4.889574e-01	1.095296e-02	3.544815e-03
31            	6.386412e-03	1.474982e-02	1.476083e-02	4.480601e-01	1.047000e-02	3.334941e-03
32            	4.852468e-03	1.294487e-02	1.295661e-02	4.022694e-01	1.005596e-02	3.195625e-03
33            	3.943664e-03	1.317262e-02	1.318767e-02	3.583531e-01	9.646189e-03	3.228146e-03
34            	4.054778e-03	1.512243e-02	1.513834e-02	3.411309e-01	9.252569e-03	3.210468e-03
35            	4.559529e-03	1.724836e-02	1.725465e-02	3.521536e-01	8.860285e-03	3.214122e-03
36            	4.949807e-03	1.854227e-02	1.856255e-02	3.741159e-01	8.461288e-03	3.150926e-03
37            	4.970429e-03	1.858548e-02	1.861416e-02	3.923830e-01	8.043100e-03	2.988974e-03
38            	4.790301e-03	1.782996e-02	1.784396e-02	4.024452e-01	7.609953e-03	2.704025e-03
39            	4.521516e-03	1.650569e-02	1.653209e-02	4.020276e-01	7.214886e-03	2.396372e-03
40            	4.182118e-03	1.484985e-02	1.487084e-02	3.827140e-01	6.928135e-03	2.323341e-03
41            	3.839208e-03	1.332713e-02	1.335950e-02	3.663142e-01	6.699373e-03	2.217708e-03
42            	3.673100e-03	1.237278e-02	1.237022e-02	3.514459e-01	6.527588e-03	2.257086e-03
43            	3.750885e-03	1.203466e-02	1.203025e-02	3.315200e-01	6.413351e-03	2.371001e-03
44            	3.998973e-03	1.249755e-02	1.250409e-02	3.168238e-01	6.284312e-03	2.352778e-03
45            	4.288783e-03	1.309352e-02	1.308751e-02	3.115318e-01	6.208785e-03	2.219559e-03
46            	4.464653e-03	1.337117e-02	1.338927e-02	3.029880e-01	6.065616e-03	2.220918e-03
47            	4.427048e-03	1.297133e-02	1.298014e-02	2.929199e-01	5.943421e-03	2.185449e-03
48            	4.241086e-03	1.203547e-02	1.205704e-02	2.832218e-01	5.811840e-03	2.013738e-03
49            	3.948456e-03	1.091934e-02	1.092309e-02	2.766110e-01	5.659187e-03	1.844031e-03
50            	3.560199e-03	9.650492e-03	9.651881e-03	2.715440e-01	5.527079e-03	1.694031e-03
51            	3.057584e-03	8.495210e-03	8.502377e-03	2.590149e-01	5.387402e-03	1.549419e-03
